Category,Sunlight Level,Water Level,Watering Duration,Sunlight Duration,Nutrients,Ultrasonic Values
general monitoring,23.226285696343297,6.10923886859519,249,213,"[9.41231588244064, 6.7836789897127625, 8.737572237206294, 1.6098953995762144, 3.686009508851036]","[39, 85, 29, 31, 45]"
general monitoring,93.2397828589672,17.174299406550187,55,276,"[4.328377038632068, 0.6786853057911724, 2.206895633332625, 7.24188691348556, 8.639565117993781]","[79, 90, 90, 96, 21]"
general monitoring,87.51517788835642,68.90683128045644,91,82,"[7.285196646208945, 2.297884737472844, 7.997138801872273, 8.222828784756992, 4.791309028473573]","[78, 92, 12, 69, 21]"
general monitoring,49.96421173053016,51.94576214038251,53,15,"[0.4560325799756837, 9.977990645512191, 9.398660725503149, 6.5349979958334785, 1.4290771342437814]","[23, 47, 46, 99, 47]"
general monitoring,83.68063041669673,67.0383608836323,280,174,"[0.4756521707128747, 8.896266968559797, 5.34555713413909, 6.972941611071838, 5.309916160485992]","[85, 64, 24, 19, 22]"
monitoring sunlight,80.30277509069779,48.368470193163304,261,224,"[5.125873924451387, 8.459850200890854, 9.497830567707572, 8.765465519969386, 1.2682961512303081]","[39, 97, 91, 44, 85]"
monitoring water level,2.7791742631276706,66.9567094678498,228,254,"[1.5246758281377737, 5.031192195562108, 2.9407278350203025, 7.187399554057432, 3.586918503116936]","[51, 34, 73, 98, 19]"
monitoring watering duration,25.355101406243808,82.6222000719208,137,190,"[2.712310817143667, 5.0385910909685165, 3.487298418129239, 9.61168294657748, 7.413545565269631]","[95, 22, 31, 81, 63]"
monitoring sunlight duration,85.15543296511507,34.95390325438726,116,13,"[9.672606122650159, 4.527056464976697, 8.621711576345241, 7.643571291936762, 1.913274949160726]","[78, 57, 20, 22, 80]"
monitoring nutrients,11.671048144306384,46.8597078729667,155,115,"[8.841805202348208, 3.7610392721639263, 5.692188038236422, 8.195816185847601, 1.2830498445337635]","[23, 94, 45, 80, 52]"
general monitoring,29.600114859358616,81.53590777670975,171,165,"[5.550754284653745, 1.0254778273425669, 2.828516689399261, 1.1899719859784863, 2.635717463041697]","[80, 46, 13, 35, 85]"
general monitoring,70.93564768427316,17.105306174891854,264,231,"[9.917324117369898, 6.313055196427265, 0.8059360231067303, 0.45798032938162203, 5.271348201557186]","[10, 90, 30, 19, 22]"
general monitoring,27.574128844822255,13.878676216100672,48,287,"[9.359192347554009, 6.216730937143935, 1.6123667705777034, 0.6186944217316348, 9.039998606115239]","[24, 18, 82, 95, 67]"
general monitoring,69.36231694400308,0.35483205788064964,298,13,"[5.708573151248907, 2.934036313037045, 4.678909854782942, 6.835875957517496, 9.408201561851424]","[92, 68, 97, 26, 52]"
general monitoring,9.637799980324646,85.35235779894295,107,131,"[1.0092208293328109, 2.173854583480396, 2.822754703166818, 9.564375316564256, 4.32534085545817]","[22, 31, 58, 26, 97]"
monitoring sunlight,46.44791873810784,48.17202129576975,171,225,"[6.141451410625175, 6.148952570061911, 1.6161451141894334, 5.171896921111071, 3.3746874422136806]","[60, 72, 43, 95, 93]"
monitoring water level,15.760432927790436,67.37577804723055,252,266,"[6.888330896685084, 1.2644247624027982, 2.8175259875136263, 4.169951742986865, 0.2949842757072929]","[70, 40, 29, 89, 28]"
monitoring watering duration,58.014973341530066,17.09902967434136,38,22,"[6.052047641109639, 0.7162651712231427, 3.8458808343556528, 2.898610479028484, 7.659904958009568]","[56, 82, 56, 56, 51]"
monitoring sunlight duration,29.10089449315414,48.61808821938216,37,294,"[3.5209434387258174, 2.6013612165382605, 6.975923159402103, 5.925826616876348, 1.1187757911139462]","[30, 30, 82, 36, 68]"
monitoring nutrients,21.561757161728757,38.68677977073345,108,170,"[5.869245405376244, 3.732136981711297, 9.324553076439868, 1.2432106257078468, 4.918998519887662]","[89, 14, 78, 30, 18]"
general monitoring,5.053553317558901,32.53963517230874,57,94,"[3.305365049376938, 1.59281697514989, 8.894631633017882, 7.2350885780888845, 1.875078203490128]","[47, 51, 74, 61, 58]"
general monitoring,87.5269440380319,86.64482194031311,113,203,"[2.654496836532927, 5.982698974331628, 9.768977677172238, 4.7533940747120464, 8.677433963069811]","[49, 49, 24, 61, 89]"
general monitoring,35.25727487187604,29.95004849628138,172,189,"[0.6147385811448947, 0.282605450581328, 0.22772534651371634, 0.9730368833335512, 9.844515940755253]","[48, 66, 60, 98, 15]"
general monitoring,97.87941864105146,63.83396791012965,128,164,"[9.808180312077585, 2.4591147640624964, 0.9538241917963042, 1.295926723395311, 5.147741737021436]","[21, 19, 90, 98, 79]"
general monitoring,42.87370941731605,36.12108329533202,83,138,"[6.654686755108913, 2.651545436171703, 1.4871459739707082, 8.088719510906468, 0.08427821492718035]","[12, 31, 18, 93, 80]"
monitoring sunlight,95.3814418180556,91.05117285100287,171,273,"[3.999960535446989, 9.246945217164118, 3.277455978092554, 8.413180811343675, 5.298189297834382]","[30, 30, 26, 13, 44]"
monitoring water level,95.02267671521464,30.150522596382235,99,129,"[2.349556918579946, 9.127225178960037, 3.5507326283477703, 6.639385081793013, 7.793437878922712]","[32, 68, 21, 13, 74]"
monitoring watering duration,73.34539500208315,23.030116482630003,288,264,"[4.954584891605759, 3.9260285482000903, 6.864999013730111, 6.45771197685465, 9.428934599750598]","[56, 63, 21, 75, 61]"
monitoring sunlight duration,74.02977108453031,3.461032298027955,267,210,"[4.157170041117673, 3.965869978330506, 0.27736076519387476, 6.914480120032055, 7.243144386203428]","[43, 56, 42, 46, 71]"
monitoring nutrients,72.53713571391675,7.154138216988304,161,60,"[8.212583937559977, 3.9113042328214984, 3.4204635136044836, 1.6652519279815359, 6.674689591916321]","[18, 59, 94, 69, 51]"
general monitoring,45.85623582147552,61.774809818704526,280,219,"[9.71426923900773, 3.2318592780131827, 3.8133072714926786, 9.019266380386036, 0.5049926271836425]","[98, 39, 61, 96, 60]"
general monitoring,72.46797465619419,82.42719435693418,137,87,"[8.189075480853873, 3.0617614156606687, 9.534664919778148, 2.1146939400698606, 1.9613780190758812]","[28, 12, 64, 80, 94]"
general monitoring,19.006416988783347,1.317681763862666,94,156,"[6.906510433430768, 4.321967322447642, 1.3950923766503565, 0.6392161407547281, 4.761080074864676]","[24, 18, 90, 81, 18]"
general monitoring,75.91805479191616,8.916595482417122,31,112,"[1.0418991928363375, 4.653571729068854, 6.584443383506206, 8.362527709921642, 7.673224842855035]","[24, 84, 75, 16, 97]"
general monitoring,84.62998893282231,55.9743718902515,253,189,"[9.251439875054045, 9.376447628406252, 3.991298998443301, 9.669978535245162, 8.978869732139472]","[84, 96, 77, 13, 55]"
monitoring sunlight,39.09757405903911,51.76134654285484,40,161,"[2.9517981711677974, 2.840701007638674, 8.642060084321, 5.5285202922045675, 6.282467905392418]","[77, 78, 48, 54, 86]"
monitoring water level,5.969401948560382,42.40489880508983,253,27,"[8.131281827851716, 4.7008136105755405, 1.9456509084848916, 4.67574701338262, 4.142509642829772]","[95, 13, 72, 67, 13]"
monitoring watering duration,81.17574479922143,49.49062185388847,81,161,"[9.733645813478336, 8.913803379703168, 0.5460476285339211, 2.1560915071394318, 1.1410976235686465]","[79, 47, 85, 59, 64]"
monitoring sunlight duration,12.742036710238281,76.38671225657558,104,119,"[2.9458913889260985, 9.275615026332181, 1.8300459599957764, 6.91726382264709, 5.967532047559069]","[50, 73, 56, 28, 93]"
monitoring nutrients,57.80182291878201,85.52315320819073,88,131,"[1.3277724098308719, 6.1378133116911755, 9.411169164993268, 7.690574215567136, 5.421189468440702]","[59, 71, 50, 44, 19]"
general monitoring,48.92242033800339,71.1033701837384,165,140,"[2.98481462644495, 2.8232084101788333, 7.4942605802270155, 2.6061816562825966, 0.04610464786100166]","[17, 53, 24, 14, 89]"
general monitoring,36.289537089315026,22.830309300404018,68,281,"[1.5952404291181355, 3.734258714580192, 0.5230706890249681, 2.051464158994957, 0.08069513671660089]","[64, 96, 43, 55, 90]"
general monitoring,82.27172319116556,91.82525320978861,281,113,"[7.139343428741754, 3.6984463600940587, 0.586289077116322, 4.2067853857332445, 8.563088067723092]","[48, 38, 99, 80, 51]"
general monitoring,26.036988122238714,70.41086799802905,214,261,"[9.034651552514234, 9.828664872265092, 6.524882726007445, 1.2278275245657244, 6.0136090144740475]","[27, 18, 95, 42, 66]"
general monitoring,43.29105075255634,96.96327334698366,245,130,"[3.1811083957545048, 5.637213476590258, 6.036437551010651, 5.920199911825623, 9.30316027280586]","[87, 74, 84, 98, 54]"
monitoring sunlight,17.802368325680497,89.84658731241554,49,175,"[0.8753274665740174, 5.757775335727747, 1.3589063347000918, 1.750171948358672, 7.291867371068669]","[24, 78, 93, 49, 92]"
monitoring water level,75.45788567764508,28.219206261497632,51,187,"[2.022825519114999, 5.522849907633027, 2.6018026263174043, 4.386462095170508, 3.4092647178010727]","[97, 19, 49, 41, 43]"
monitoring watering duration,73.2007090514646,65.6973653996161,235,68,"[8.4230225120911, 3.2945449504254865, 6.185284262050875, 9.693504541900735, 8.180408500982141]","[58, 29, 93, 32, 68]"
monitoring sunlight duration,23.80188944556043,18.246609580122897,140,169,"[1.9248348080167121, 0.7194580378846616, 5.1502934455459926, 5.35294094214502, 0.7335219056164344]","[11, 56, 100, 39, 15]"
monitoring nutrients,98.89982334771621,87.32676705979708,256,18,"[7.050949953647949, 8.888420484283298, 0.9745190471588527, 4.41213885991178, 1.7408346233966632]","[61, 15, 64, 37, 14]"
general monitoring,49.66932895445096,96.04327948658039,203,175,"[9.840150082243845, 5.856350882402781, 5.741882956894951, 2.131321536065353, 8.091190004164368]","[67, 47, 87, 77, 19]"
general monitoring,53.235154103117985,41.6706959159339,123,167,"[9.307219718946097, 2.532733709973465, 1.2658875489322174, 8.878415716796773, 7.339673535772445]","[68, 53, 52, 22, 81]"
general monitoring,30.669975383101868,76.7164658105304,265,113,"[1.3757233033980576, 4.824946158342797, 2.8821938957518665, 9.72087259566637, 6.684458889536296]","[56, 91, 57, 98, 47]"
general monitoring,4.634125675968825,84.65233675305117,100,189,"[2.889145907431624, 2.360154770104831, 2.4231706253946674, 5.997986512692912, 4.040505708451883]","[33, 32, 63, 73, 93]"
general monitoring,72.16769076636494,11.68705695725788,28,29,"[2.4125166168813115, 9.778836562057583, 9.13911583490236, 3.8883531467246426, 3.8673279623000467]","[48, 91, 22, 90, 50]"
monitoring sunlight,3.8056811622123043,27.278162662181504,86,71,"[5.623737461293849, 9.598708686350097, 0.3359467544899697, 1.5309909856717707, 4.475573716936605]","[93, 59, 18, 63, 23]"
monitoring water level,28.703195990431563,11.419990962578819,235,214,"[2.4313809571730314, 5.6111348436473065, 6.980427308881252, 2.5536561048329833, 8.238555935191258]","[69, 72, 20, 25, 13]"
monitoring watering duration,38.69998716397261,77.72421339751256,292,10,"[6.323354216171556, 6.310628164859939, 9.563154770273044, 2.8293595121391113, 4.274322649108279]","[89, 60, 17, 73, 59]"
monitoring sunlight duration,57.18056077595646,42.78103497770229,165,184,"[8.64057138447389, 8.658041160833506, 3.9217263000174007, 5.489843817772994, 4.4312755033189]","[98, 50, 68, 54, 97]"
monitoring nutrients,50.62390565933917,59.540842132582185,249,267,"[0.7286954168402271, 8.84334444466536, 7.867286269614429, 9.201087270878633, 0.8242392389404096]","[59, 42, 42, 84, 13]"
general monitoring,76.65232462143653,95.90928503581598,160,96,"[7.8305477563482615, 7.2782427100585085, 5.343860759224434, 7.628288257206294, 6.411467536452184]","[35, 23, 32, 43, 22]"
general monitoring,46.78682522043556,3.6397102618161092,39,276,"[1.2138162855259504, 0.2716527775200128, 0.18080898240834586, 8.446192576975694, 6.444979814371764]","[92, 16, 34, 42, 71]"
general monitoring,5.664563955269797,95.97417395240461,173,40,"[0.5152794561964646, 1.3234098381407233, 4.90874852547944, 7.7596722332736014, 3.736583336937777]","[75, 19, 95, 51, 60]"
general monitoring,50.24878534464167,81.07090585778448,127,88,"[1.0702214620826866, 6.664921446743487, 2.024697889980027, 8.187288888208744, 8.592051105880746]","[72, 91, 57, 93, 87]"
general monitoring,92.12438646391506,68.49785710374509,92,66,"[9.315294246160562, 1.3186066603170343, 2.410890403749918, 7.13413075865379, 0.38253285538948467]","[20, 31, 43, 22, 96]"
monitoring sunlight,74.90902467782992,83.58760789867806,105,283,"[2.0239982030919768, 7.319680052220687, 9.65311047920492, 4.3857001811639895, 4.262481678514805]","[49, 42, 28, 13, 30]"
monitoring water level,3.383465179501377,19.729259666448762,214,82,"[0.2424557277202033, 2.9044422580584452, 9.420710805322052, 8.724822646066418, 0.8403001133513877]","[11, 36, 65, 71, 61]"
monitoring watering duration,8.617378973108892,59.917232285007884,13,91,"[1.9043908948207666, 8.495710661768715, 0.9676671718007757, 9.859563766182424, 2.353086081350982]","[41, 23, 96, 81, 84]"
monitoring sunlight duration,11.970038976121078,10.103554006811954,206,184,"[6.4450252069566965, 7.136496749175008, 4.65503356570336, 6.34955668239137, 7.426009627214135]","[36, 31, 43, 29, 53]"
monitoring nutrients,90.49772342622828,40.15394977919836,67,58,"[8.080520275528526, 5.48495826845854, 0.141579695292956, 7.900884046019114, 9.566751076170046]","[96, 34, 57, 94, 27]"
general monitoring,4.250195529306222,42.871725762525635,299,103,"[3.8186018569242073, 2.448687094289066, 5.956692565955652, 8.686505319433284, 8.81484977876281]","[53, 47, 69, 98, 35]"
general monitoring,5.556987379100042,78.87610468578981,133,148,"[9.485601930285082, 0.054078429571582376, 2.331827084912331, 6.662058846574455, 3.933658857455209]","[16, 58, 14, 58, 70]"
general monitoring,68.33078770379517,91.13602160440499,29,60,"[5.8951692390889745, 7.207589201001957, 1.8356820649020344, 0.31204087925306045, 6.603032650589217]","[94, 98, 52, 93, 98]"
general monitoring,65.3899187872731,35.695940787119206,109,25,"[1.5755660509997216, 3.73064251880876, 5.704322925556781, 8.125625872772632, 4.858347420781504]","[27, 65, 53, 95, 24]"
general monitoring,29.400845775507577,10.776855598004154,142,130,"[3.9553530847799845, 8.348855553970445, 1.675212821644596, 0.18201157535902346, 7.775868189312039]","[63, 99, 37, 96, 73]"
monitoring sunlight,3.1815418318624777,52.250300206026445,291,221,"[9.35752921781753, 6.351145017802979, 0.8749504296639554, 1.2369625942280582, 1.9734368454884055]","[37, 80, 19, 94, 74]"
monitoring water level,15.184157748257254,19.555156098331793,76,112,"[5.2876366019312275, 1.9210891766123206, 8.660382900476048, 0.03511988505549124, 4.833461787169813]","[65, 70, 10, 41, 73]"
monitoring watering duration,70.04958396420466,11.949268281396542,39,167,"[8.529821173707697, 1.2489730882904237, 0.09126475560264913, 9.264438175855217, 1.7054335049293212]","[52, 51, 35, 99, 15]"
monitoring sunlight duration,97.7034562900737,11.012597636690924,252,44,"[5.174738957036356, 7.6474752377588215, 4.7527007166354664, 6.548382562514799, 4.654210404844854]","[58, 65, 42, 74, 43]"
monitoring nutrients,85.75124616065393,34.484201860035526,187,272,"[0.641120934453483, 2.107962784381866, 4.5986821936418645, 7.117899330029189, 6.565053420213369]","[96, 10, 62, 13, 11]"
general monitoring,16.457400133975685,82.23581959716306,149,174,"[8.802303558032596, 0.021670500674870752, 2.566663291062942, 9.165777268652867, 1.632966760343768]","[76, 39, 61, 86, 96]"
general monitoring,88.14780246705679,33.88787172438887,42,100,"[0.2677767415328136, 4.181465832394203, 7.690666295168107, 7.036425642442746, 5.149304706499089]","[84, 14, 27, 52, 83]"
general monitoring,69.98105088411175,62.649896782253634,269,54,"[3.250310167575594, 4.66765466694422, 0.7571995475160098, 3.91672736654036, 2.3068767572852957]","[38, 47, 31, 44, 19]"
general monitoring,99.68072670697451,44.063351626339774,229,47,"[8.000817216445572, 9.949788773632541, 5.391472457437658, 6.789625552801253, 2.4266535531712674]","[89, 91, 19, 96, 83]"
general monitoring,88.93642944046829,45.144253065443394,52,255,"[1.6564619138261882, 7.246007042511654, 1.5731483883426034, 7.648398421061842, 2.454772326277439]","[32, 86, 84, 28, 92]"
monitoring sunlight,74.98956658863337,85.64184559946834,192,151,"[9.543319781709409, 3.529295143340149, 2.279874044886563, 4.454825581903696, 4.949741968377003]","[85, 20, 97, 52, 41]"
monitoring water level,32.747541407713086,83.7460581149161,179,219,"[0.7858287321061286, 8.863500040953523, 2.489562285278911, 8.092612127308858, 9.321823908114123]","[87, 45, 10, 40, 88]"
monitoring watering duration,0.7218800741099041,94.01845811467858,94,109,"[3.8359135461485385, 4.674377576198344, 5.05056554750219, 8.1218359937894, 2.2583794326944373]","[74, 92, 39, 54, 53]"
monitoring sunlight duration,39.75462621922365,24.89985942367523,68,97,"[9.706004543023255, 4.056015602284244, 8.940276614820908, 7.916232411335011, 3.8492351048174878]","[52, 92, 82, 22, 36]"
monitoring nutrients,53.44980765344943,16.089414240434095,73,225,"[5.128915675919358, 2.4264420347147797, 0.7267246676126959, 4.835222547486804, 4.8511873545585775]","[77, 41, 25, 70, 79]"
general monitoring,75.482595474139,48.45679344319085,87,106,"[6.7347859349135195, 4.496195547236113, 4.421412188950763, 9.822111388369304, 4.728706924388017]","[20, 68, 18, 56, 81]"
general monitoring,64.8579906641362,78.48849663450937,257,267,"[5.670372746957003, 7.747207283792925, 4.515753543639933, 1.6277200990544094, 1.8186520029130515]","[14, 13, 25, 88, 94]"
general monitoring,99.20656546061755,88.84426139155474,112,131,"[4.019327091669199, 0.17771882381523496, 2.972497596464053, 4.903549431757295, 6.925297605593592]","[66, 85, 72, 23, 75]"
general monitoring,86.4134106777435,78.58586816154745,47,106,"[9.331370324962222, 8.42033163522497, 8.64449689751987, 0.1989480633780938, 7.010563911802606]","[69, 28, 82, 29, 87]"
general monitoring,52.543376773197124,20.984272318633103,127,146,"[4.3826929023536, 5.100968560319705, 9.060219101172107, 8.845001868787598, 4.058036539881369]","[55, 96, 59, 97, 47]"
monitoring sunlight,81.46906748615163,12.447592004915153,177,114,"[6.380262496052636, 9.074795266451886, 2.167364784095888, 2.513331264598868, 8.420593590571777]","[24, 63, 99, 45, 19]"
monitoring water level,9.889237772967608,57.44808305791742,228,181,"[5.63772227255863, 1.4196880875425466, 6.9164364543532395, 7.920942628478585, 4.497244472652584]","[55, 65, 87, 14, 44]"
monitoring watering duration,32.182411491353925,37.62482595546107,32,177,"[3.2884416795557883, 4.97933491217755, 6.014609415462112, 0.12889042462853606, 3.2078671788061985]","[25, 76, 10, 77, 60]"
monitoring sunlight duration,52.97638179860478,66.76628720172263,286,265,"[7.039321487524238, 1.0610919132178809, 9.535802721982115, 1.8941360442936728, 7.940948476480401]","[49, 71, 80, 74, 52]"
monitoring nutrients,14.985091464231282,89.15676875053245,179,293,"[1.5488294341150555, 0.8306094827972921, 6.243729291095393, 8.090393324196931, 9.134248474143176]","[60, 81, 69, 55, 33]"
general monitoring,85.4526809288992,74.51965231586354,152,143,"[2.5760640941831072, 2.841564140043774, 9.981075951633642, 4.2894033721961975, 4.995029068232602]","[51, 83, 91, 13, 94]"
general monitoring,74.82436520915937,35.408978939567106,82,171,"[7.303060888949373, 0.6689269643238205, 1.56605585389046, 1.3988342346681926, 7.577811304997319]","[98, 29, 18, 65, 44]"
general monitoring,99.2446945946567,63.182730817338296,37,273,"[2.6228928740803026, 9.653550818853695, 8.8980204400286, 0.6838722692623611, 0.27285246047105804]","[72, 79, 64, 24, 76]"
general monitoring,71.76808558385446,58.432269155214996,100,94,"[3.4884194276928957, 8.764824702197096, 0.43991741462097944, 4.5398392777275856, 2.4961360017474608]","[49, 84, 59, 90, 50]"
general monitoring,24.766276150046906,86.51274819315948,224,150,"[3.8393840359397258, 0.8588418348189186, 4.87919529860932, 9.80730770100615, 0.2970745697532007]","[53, 46, 55, 28, 38]"
monitoring sunlight,28.563589614733154,63.846877633321164,72,35,"[2.47755285963673, 7.5144249786106805, 3.1725977614842282, 9.808838399544054, 3.4086064668344007]","[87, 14, 77, 33, 87]"
monitoring water level,94.59923101338727,72.29887627131178,109,224,"[2.4898035086912373, 4.64877692801981, 2.1037334846928877, 7.127534765579984, 7.5933217153055965]","[73, 36, 99, 17, 38]"
monitoring watering duration,34.46062918280788,47.3432123924803,215,76,"[9.717337239623923, 7.293430270678984, 5.60218229727991, 5.608259774604367, 6.574180770020997]","[24, 47, 61, 98, 95]"
monitoring sunlight duration,88.92582915155064,18.886572951354296,112,13,"[8.2907569296478, 5.891544860884971, 8.943932765192844, 3.2235546842490246, 6.4537785023345196]","[32, 82, 45, 38, 70]"
monitoring nutrients,91.71356802558165,76.91731955809146,122,20,"[4.782479197399648, 4.985316437999372, 9.980490711417925, 5.264693362611387, 8.360181282512542]","[15, 36, 15, 96, 89]"
general monitoring,52.35627170439585,37.51923912315108,67,202,"[3.5990284585968455, 7.57636758413927, 8.44848111120277, 3.6804369790807967, 9.394114540659103]","[86, 52, 19, 23, 76]"
general monitoring,29.21130683457125,72.57357166350641,122,299,"[2.0868239494243133, 6.724290466858379, 6.548422495672677, 3.5957638866295327, 6.190848492373426]","[86, 78, 43, 17, 92]"
general monitoring,38.746903647712486,94.38854993063418,244,25,"[4.315736333482311, 5.4964635558288215, 1.5365824367111514, 4.248860855893435, 8.474863082073371]","[75, 83, 61, 87, 88]"
general monitoring,16.469284985335307,37.186364899321546,132,122,"[0.983264649164497, 7.565341714042402, 6.747978490041384, 2.165277966068897, 1.3111928726085609]","[87, 70, 65, 78, 21]"
general monitoring,28.779514746072323,77.56882147435194,289,44,"[5.71807633879648, 5.084643428042769, 9.865420857546626, 6.687016719756132, 2.9870625390746666]","[11, 53, 69, 43, 91]"
monitoring sunlight,26.925577460651095,56.746615110330566,19,278,"[8.021487871862941, 4.120113552635175, 5.270251106294054, 5.463451040980908, 7.424174712983373]","[82, 21, 64, 60, 52]"
monitoring water level,26.683401015577925,52.263336459809764,120,45,"[6.674074115764044, 7.767799963549901, 4.212258843814729, 7.716655690464308, 2.742294463399012]","[53, 75, 83, 54, 25]"
monitoring watering duration,43.317275283595926,65.44720521032326,186,217,"[3.8190389442557207, 7.2646865538716305, 1.1161403430537387, 8.157733291717303, 0.8608702368929699]","[93, 95, 31, 50, 69]"
monitoring sunlight duration,22.26216492215135,4.8834984914426505,179,71,"[8.184681250499926, 6.712392369574099, 8.010997038867986, 6.791101154974872, 4.741332134767445]","[51, 73, 65, 46, 18]"
monitoring nutrients,13.135027378776343,11.00448863090283,28,117,"[7.544536765632511, 2.811806132231851, 5.578477194401582, 6.610373257777951, 4.48113313063487]","[85, 88, 36, 89, 62]"
general monitoring,86.69103736623765,43.05392216945647,258,232,"[4.548543024056584, 2.8804380875661972, 1.7829385904253148, 1.0411200723931113, 0.8218214348331221]","[45, 83, 56, 41, 98]"
general monitoring,41.617953728991566,71.00668986692897,287,15,"[7.407328895256589, 9.16410668225907, 8.392210817339388, 6.820050603506927, 7.031896699094036]","[52, 57, 17, 73, 14]"
general monitoring,28.795413134157677,98.77178535713408,244,89,"[3.1096230776792844, 5.804472107173188, 9.367912486457694, 9.18710277325263, 4.328197822700854]","[45, 61, 70, 62, 91]"
general monitoring,5.583157734248578,94.81912512787093,164,187,"[2.7859399244959526, 3.9640731562949005, 5.760136899262145, 2.3344435001626005, 1.794494430921979]","[18, 86, 17, 79, 26]"
general monitoring,25.319216029029544,96.78243065317763,57,156,"[6.781224141090954, 6.65397978368908, 4.098113700795602, 9.465883247805493, 1.4712042347405196]","[56, 55, 28, 14, 79]"
monitoring sunlight,5.979765277739779,12.067261850953725,176,14,"[0.9628265559165261, 7.88320586236706, 5.029850835074296, 3.8953459437850366, 0.9372014827300468]","[91, 56, 77, 76, 60]"
monitoring water level,60.5621764837451,48.326487821306245,169,71,"[1.289411538344214, 5.6301866472166235, 1.1498463728989106, 2.0279283499588097, 5.377639750789179]","[95, 72, 54, 66, 55]"
monitoring watering duration,90.63247695228146,9.057618513773203,258,257,"[1.185770432801021, 5.562506774692971, 9.506895690887312, 6.15368755625326, 6.408383503158444]","[15, 12, 62, 32, 77]"
monitoring sunlight duration,23.27604024772799,43.24663807775635,52,236,"[1.993670418086264, 4.97557888013035, 8.179845978642893, 6.645165692148898, 4.0096773316751015]","[65, 50, 78, 81, 38]"
monitoring nutrients,61.60176715346155,61.17051476096832,216,41,"[1.251875807039835, 7.375509101175254, 3.679999540578036, 4.350282001055991, 7.9051437176525]","[19, 64, 11, 87, 90]"
general monitoring,10.001968665225291,18.554564282138607,160,151,"[6.974297650236104, 4.022386033943434, 6.849229891906507, 2.848679572572541, 5.933807818045683]","[62, 69, 98, 85, 50]"
general monitoring,92.76028913928633,84.86716702475621,16,297,"[3.2143941929407536, 6.337801251400066, 8.988819666248654, 1.9695610804861718, 7.798066207723363]","[54, 73, 99, 99, 99]"
general monitoring,3.549984526453265,36.57927009080593,199,107,"[8.604917961858355, 7.443702672188027, 4.737021087538016, 3.0709409462160364, 0.9877225522488264]","[39, 82, 10, 60, 53]"
general monitoring,60.10580042644723,14.336903921847522,224,298,"[0.14239265541077906, 0.9271083689168669, 9.829322467291465, 4.775412154110624, 5.688219508224485]","[55, 77, 80, 57, 32]"
general monitoring,82.07399225255621,63.89490218275069,296,221,"[6.3772060450994275, 0.8872503255885955, 3.257918481565174, 3.429897672439278, 7.29110976208818]","[60, 14, 66, 41, 78]"
monitoring sunlight,1.554919971903168,64.78667128278389,156,266,"[1.7808733401481536, 7.124954948114083, 6.889181440430017, 7.147370896233243, 6.052726932470902]","[48, 73, 44, 80, 68]"
monitoring water level,87.69991934099896,27.6841695027114,281,246,"[1.0954000718669121, 2.407611770302881, 0.5281712689850526, 0.39791480403560175, 5.28009963139127]","[80, 88, 50, 90, 100]"
monitoring watering duration,21.71864075233293,78.76376275064557,210,73,"[9.141822433428665, 9.418862103968195, 8.442885800964374, 0.26029052885569226, 4.254398198211914]","[19, 10, 61, 95, 19]"
monitoring sunlight duration,67.16532654066106,24.558758777913326,284,27,"[5.7986873457590296, 6.240879588099604, 9.766714107615243, 6.582024009556676, 3.654953778971125]","[71, 94, 63, 95, 42]"
monitoring nutrients,53.13062428641323,31.987232491656204,123,229,"[2.4061112844250108, 6.006143670056457, 4.157514084648683, 8.632044652213105, 8.467063243433797]","[97, 19, 94, 10, 73]"
general monitoring,16.782986585939597,69.83929430167503,115,279,"[8.14280044564271, 9.502668678668153, 2.176468157936732, 5.541938664613239, 1.1510419242997494]","[52, 77, 15, 22, 65]"
general monitoring,26.37755095249361,52.49544240023146,46,146,"[9.294123528740922, 9.365544050861613, 4.359773134328075, 4.771535489346286, 2.925390891002629]","[56, 30, 32, 18, 50]"
general monitoring,12.918265165544373,34.22232013778309,56,261,"[3.970026495539418, 2.9770781794058188, 2.002742290164632, 1.5462120361218779, 0.46347918466049465]","[56, 63, 41, 78, 85]"
general monitoring,56.56476899584247,63.4278768246362,190,267,"[4.226158059037529, 6.395869097314117, 1.3426554483431774, 3.6531783055467626, 8.361795153022374]","[53, 75, 58, 60, 35]"
general monitoring,5.483698389381075,58.31495056281578,153,87,"[3.033220925163965, 3.2252738060980035, 0.5424475449668453, 7.9675663710722056, 1.5015652345104413]","[19, 43, 26, 47, 59]"
monitoring sunlight,95.27448253504286,55.37607286269773,180,109,"[5.356865735284852, 7.378069136774906, 6.780236294863338, 3.3286357669499966, 6.510135347208793]","[53, 91, 59, 38, 84]"
monitoring water level,89.52140247835081,8.649342393900683,204,117,"[1.829359636805451, 6.001617127405203, 6.434364888956723, 8.177832633340394, 6.287994796576783]","[56, 79, 85, 30, 89]"
monitoring watering duration,41.202422162404226,60.18920356408681,97,193,"[6.756980557395087, 6.007347472577344, 8.214145639153246, 1.3644654982975224, 2.843057121115141]","[40, 48, 15, 24, 24]"
monitoring sunlight duration,17.97449643245338,96.29197720666666,155,118,"[0.3360603165893439, 7.890844180717726, 8.731188897612325, 8.201738946669192, 1.2117713732145263]","[62, 89, 30, 58, 14]"
